пп;Код;Автор;Наименование;Издат-во;ISBN;Станд.;Код аналога;Год;ФП;ФГОС;02 ИЗДАТЕЛЬСКИЙ ТИП ЦЕН;;03 Оптовая
120;55624082;Канакина В.П.;"Канакина (Школа России) Рус. язык 4 кл Тетрадь учебных достижений (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-089516-3;20; ;2022; ;ФГОС;238.2;;226.3
121;55601680;Канакина В.П., Горецкий В.Г.;"Канакина (Школа России) Рус. язык 4 кл. В двух частях. Часть 1.(ФП2019 ""ИП"")(Просв.)";Просвещение;978-5-09-089518-7;12;55611718;2021-2022;ФП;ФГОС;651.8;;651.8
122;55601681;Канакина В.П., Горецкий В.Г.;"Канакина (Школа России) Рус. язык 4 кл. В двух частях. Часть 2.(ФП2019 ""ИП"")(Просв.)";Просвещение;978-5-09-089519-4;12;55611718;2021-2022;ФП;ФГОС;651.8;;651.8
123;55622421;Канакина В.П.;"Канакина (Школа России) Рус. язык 4 кл. Проверочные работы (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-089148-6;20; ;2021-2022; ;ФГОС;222.2;;211.1
124;55640423;Канакина В.П.;"Канакина (Школа России) Рус. язык 4 кл. Раздаточный материал (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-088020-6;36;55629108;2022; ; ;205.7;;195.5
125;55575694;Канакина В.П.;"Канакина (Школа России) Рус. язык 4кл. Рабочая тетрадь. В двух частях. Часть 1(ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-089521-7;30; ;2021-2022; ;ФГОС;205.2;;194.9
126;55575695;Канакина В.П.;"Канакина (Школа России) Рус. язык 4кл. Рабочая тетрадь. В двух частях. Часть 2 (ФП2019 ""ИП"")(Просв.)";Просвещение;978-5-09-089522-4;30; ;2021-2022; ;ФГОС;205.2;;194.9
127;55587200;Канакина В.П., Горецкий В.Г., Бойкина М.В.;Канакина (Школа России) Рус. язык Раб. программы 1-4 кл. ФГОС (Просв.);Просвещение;978-5-09-075193-3;16; ;2020; ;ФГОС;225;;213.8
128;65678398;Никишенкова А.В.;Канакина (Школа России) Рус. язык. Летние задания. Переходим в 3-й класс.(Просв.);Просвещение;978-5-09-093811-2;30; ;2022; ;ФГОС;165;;156.8
129;65678399;Никишенкова А.В.;Канакина (Школа России) Рус. язык. Летние задания. Переходим в 4-й класс.(Просв.);Просвещение;978-5-09-093812-9;30; ;2022; ;ФГОС;165;;156.8
130;65678400;Никишенкова А.В.;Канакина (Школа России) Рус. язык. Летние задания. Переходим в 5-й класс.(Просв.);Просвещение;978-5-09-093813-6;30; ;2022; ;ФГОС;165;;156.8
131;65678397;Никишенкова А.В.;Канакина (Школа России) Рус. язык. Летние задания. Переходим во 2-й класс.(Просв.);Просвещение;978-5-09-093810-5;40; ;2022; ;ФГОС;165;;156.8
132;55639407;Климанова Л.Ф., Макеева С.Г.;"Климанова (Перспектива) Азбука 1кл. В двух частях. Часть 1 (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-089506-4;15;55612884;2021-2022;ФП;ФГОС;514.3;;514.3
133;55639408;Климанова Л.Ф., Макеева С.Г.;"Климанова (Перспектива) Азбука 1кл. В двух частях. Часть 2 (ФП2019 ""ИП"")(Просв.)";Просвещение;978-5-09-089507-1;15;55555791;2021-2022;ФП;ФГОС;514.3;;514.3
134;65670165;Климанова Л.Ф., Коти Т.Ю.;Климанова (Перспектива) Волшебная сила слов 1 кл. Р/Т (Просв.);Просвещение/Союз;978-5-09-089006-9;30; ;2022; ;ФГОС;231;;219.5
135;55561647;Климанова Л.Ф., Коти Т.Ю.;Климанова (Перспектива) Волшебная сила слов 1 кл. Р/Т (ФП2014-18) (Просв.);Просвещение/Союз; ;30; ;2016; ;ФГОС;35.81;;35.81
136;55643928;Климанова Л.Ф., Коти Т.Ю., Абрамов А.В.;"Климанова (Перспектива) Волшебная сила слов 2 кл. Р/Т (ФП2019 ""ИП"")(Просв.)";Просвещение/Союз;978-5-09-094462-5;30;55582415;2021-2022; ; ;231;;219.5
137;65668893;Климанова Л.Ф., Коти Т.Ю.;"Климанова (Перспектива) Волшебная сила слов 3 кл. Р/Т (ФП2019 ""ИП"")(Просв.)";Просвещение/Союз;978-5-09-095564-5;30; ;2021; ;ФГОС;231;;219.5
138;65681154;Климанова Л.Ф., Коти Т.Ю.;Климанова (Перспектива) Волшебная сила слов 4 кл. Р/Т (Просв.);Просвещение;978-5-09-095606-2;20; ;2021-2022; ;ФГОС;231;;219.5
139;55588427;Климанова Л.Ф., Коти Т.Ю.;Климанова (Перспектива) Волшебная сила слов 4 кл. Р/Т (ФП2014-18) (Просв.);Просвещение/Союз;978-5-09-021558-9;20; ;2015; ;ФГОС;35.81;;35.81
140;55633147;Климанова Л.Ф.;Климанова (Перспектива) Литературное чтение  Раб. программы 1-4 кл. ФГОС (Просв.);Просвещение; ;64; ;2019; ;ФГОС;127.1;;120.7
141;55576929;Климанова Л.Ф.;Климанова (Перспектива) Литературное чтение 1 кл. В двух частях. Часть 1. (ФП2014-18) (Просв.);Просвещение; ;18; ;2019;ФП;ФГОС;82.04;;82.04
142;55639986;Климанова Л.Ф., Горецкий В.Г., Виноградская Л.А.;"Климанова (Перспектива) Литературное чтение 1 кл. В двух частях. Часть 1. (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-077841-1;16; ;2019;ФП;ФГОС;480.2;;480.2
143;55576930;Климанова Л.Ф.;Климанова (Перспектива) Литературное чтение 1 кл. В двух частях. Часть 2. (ФП2014-18)(Просв.);Просвещение; ;18;55576929;2019;ФП;ФГОС;82.04;;82.04
144;55639988;Климанова Л.Ф., Горецкий В.Г., Виноградская Л.А.;"Климанова (Перспектива) Литературное чтение 1 кл. В двух частях. Часть 2. (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-077840-4;18; ;2020;ФП;ФГОС;480.2;;480.2
145;65682742;Бойкина М.В.;Климанова (Перспектива) Литературное чтение 1 кл. Тетрадь учебных достижений. (Просв.);Просвещение; ;25; ;2022; ;ФГОС;213.4;;202.8
146;55628778;Бойкина М.В.;Климанова (Перспектива) Литературное чтение 1 кл. Тетрадь учебных достижений. (ФП2014-18)(Просв.);Просвещение/Союз;978-5-09-061344-6;25; ;2018; ;ФГОС;69.3;;69.3
147;55639411;Климанова Л.Ф., Виноградская Л.А., Горецкий В.Г.;"Климанова (Перспектива) Литературное чтение 2 кл.  ч.1 (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-087658-2;14;55594106;2021-2022;ФП;ФГОС;670.5;;670.5
148;55639412;Климанова Л.Ф., Виноградская Л.А., Горецкий В.Г.;"Климанова (Перспектива) Литературное чтение 2 кл.  ч.2 (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-087643-8;14;55594105;2021-2022;ФП;ФГОС;670.5;;670.5
149;55629518;Бойкина М.В.;"Климанова (Перспектива) Литературное чтение 2 кл.Тетрадь учебных достижений (ФП2019 ""ИП"") (Просв.)";Просвещение/Союз;978-5-09-086059-8;30; ;2021; ;ФГОС;213.4;;202.8
150;55583732;Климанова Л.Ф., Виноградская Л.А., Горецкий В.Г.;"Климанова (Перспектива) Литературное чтение 3 кл. ч.1. (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-087862-3;16;55601686;2021-2022;ФП;ФГОС;670.5;;670.5
151;55583733;Климанова Л.Ф., Виноградская Л.А., Горецкий В.Г.;"Климанова (Перспектива) Литературное чтение 3 кл. ч.2. (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-087859-3;16; ;2021-2022;ФП;ФГОС;670.5;;670.5
152;55630121;Бойкина М.В.;"Климанова (Перспектива) Литературное чтение 3 кл.Тетрадь учебных достижений (ФП2019 ""ИП"") (Просв.)";Просвещение/Союз;978-5-09-085016-2;30; ;2021; ;ФГОС;213.4;;202.8
153;55604009;Климанова Л.Ф., Виноградская Л.А., Бойкина М.В.;Климанова (Перспектива) Литературное чтение 4 кл. 2-х ч.  Комплект с CD ФГОС (Просв.);Просвещение;978-5-09-032090-0;7; ;2015;ФП;ФГОС;144;;144
154;65664033;Бойкина М. В.;Климанова (Перспектива) Литературное чтение 4 кл. Тетрадь учебных достижений. (Просв.);Просвещение/Союз;978-5-09-086056-7;30; ;2021; ;ФГОС;213.4;;202.8
155;55639566;Климанова Л.Ф.;"Климанова (Перспектива) Литературное чтение 4 кл. ч.1 (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-087866-1;14; ;2021-2022;ФП;ФГОС;670.5;;670.5
156;55639567;Климанова Л.Ф., Виноградская Л.А., Бойкина М.В.;"Климанова (Перспектива) Литературное чтение 4 кл. ч.2 (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-087870-8;14; ;2021-2022;ФП;ФГОС;670.5;;670.5
157;55588403;Климанова Л.Ф., Коти Т.Ю.;"Климанова (Перспектива) Литературное чтение Творч. тетр. 1 кл. (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-081000-5;20;55640283;2021; ;ФГОС;261.8;;248.8
158;55594107;Коти Т.Ю.;"Климанова (Перспектива) Литературное чтение Творч. тетр. 2 кл. (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-089554-5;30; ;2021; ;ФГОС;261.8;;248.8
159;55642378;Климанова Л.Ф., Коти Т.Ю.;"Климанова (Перспектива) Литературное чтение Творч. тетр. 3 кл. (ФП2019 ""ИП"")(Коти) (Просв.)";Просвещение;978-5-09-089555-2;30; ;2022; ;ФГОС;261.8;;248.8
160;55600608;Коти Т.Ю.;"Климанова (Перспектива) Литературное чтение Творч. тетр. 4 кл. (ФП2019 ""ИП"")  (Просв.)";Просвещение;978-5-09-089556-9;30; ;2022; ;ФГОС;261.8;;248.8
161;55555795;Климанова Л.Ф., Абрамов А.В., Пудикова Н.А.;"Климанова (Перспектива) Пропись Мой алфавит 1кл. В двух частях.Часть 1 (ФП2019 ""ИП"") (ПРОСВ.)";Просвещение;978-5-09-089126-4;20; ;2021-2022; ;ФГОС;181.5;;172.5
162;55555796;Климанова Л.Ф., Абрамов А.В., Пудикова Н.А.;"Климанова (Перспектива) Пропись Мой алфавит 1кл. В двух частях.Часть 2 (ФП2019 ""ИП"") (ПРОСВ.)";Просвещение;978-5-09-089127-1;20; ;2021-2022; ;ФГОС;181.5;;172.5
